,dia da semana,periodo de funcionamento,store_id
1,sexta-feira,10:00–22:00,46
2,sábado,10:00–22:00,46
3,domingo,14:00–21:00,46
4,segunda-feira,10:00–22:00,46
5,terça-feira,10:00–22:00,46
6,quarta-feira,10:00–22:00,46
0,quinta-feira,10:00–22:00,47
1,sexta-feira,10:00–22:00,47
2,sábado,10:00–22:00,47
3,domingo,12:00–22:00,47
4,segunda-feira,10:00–22:00,47
5,terça-feira,10:00–22:00,47
6,quarta-feira,10:00–22:00,47
0,quinta-feira,10:00–22:00,49
1,sexta-feira,10:00–22:00,49
2,sábado,10:00–22:00,49
3,domingo,14:00–22:00,49
4,segunda-feira,10:00–22:00,49
5,terça-feira,10:00–22:00,49
6,quarta-feira,10:00–22:00,49
0,quinta-feira,10:00–22:00,50
1,sexta-feira,10:00–22:00,50
2,sábado,10:00–22:00,50
3,domingo,Fechado,50
4,segunda-feira,10:00–22:00,50
5,terça-feira,10:00–22:00,50
6,quarta-feira,10:00–22:00,50
0,quinta-feira,10:00–22:00,53
1,sexta-feira,10:00–22:00,53
2,sábado,10:00–22:00,53
3,domingo,14:00–21:00,53
4,segunda-feira,10:00–22:00,53
5,terça-feira,10:00–22:00,53
6,quarta-feira,10:00–22:00,53
0,quinta-feira,10:00–22:00,54
1,sexta-feira,10:00–22:00,54
2,sábado,10:00–22:00,54
3,domingo,14:00–20:00,54
4,segunda-feira,10:00–22:00,54
5,terça-feira,10:00–22:00,54
6,quarta-feira,10:00–22:00,54
0,quinta-feira,10:00–22:00,56
1,sexta-feira,10:00–22:00,56
2,sábado,10:00–22:00,56
3,domingo,13:00–21:00,56
4,segunda-feira,10:00–22:00,56
5,terça-feira,10:00–22:00,56
6,quarta-feira,10:00–22:00,56
0,quinta-feira,10:00–22:00,58
1,sexta-feira,10:00–22:00,58
2,sábado,10:00–22:00,58
3,domingo,14:00–21:00,58
4,segunda-feira,10:00–22:00,58
5,terça-feira,10:00–22:00,58
6,quarta-feira,10:00–22:00,58
0,quinta-feira,10:00–22:00,59
1,sexta-feira,10:00–22:00,59
2,sábado,10:00–22:00,59
3,domingo,14:00–21:00,59
4,segunda-feira,10:00–22:00,59
5,terça-feira,10:00–22:00,59
6,quarta-feira,10:00–22:00,59
0,quinta-feira,10:00–22:00,62
1,sexta-feira,10:00–22:00,62
2,sábado,10:00–22:00,62
3,domingo,14:00–21:00,62
4,segunda-feira,10:00–22:00,62
5,terça-feira,10:00–22:00,62
6,quarta-feira,10:00–22:00,62
0,quinta-feira,10:00–22:00,65
1,sexta-feira,10:00–22:00,65
2,sábado,10:00–22:00,65
3,domingo,14:00–21:00,65
4,segunda-feira,10:00–22:00,65
5,terça-feira,10:00–22:00,65
6,quarta-feira,10:00–22:00,65
0,quinta-feira,10:00–22:00,66
1,sexta-feira,10:00–22:00,66
2,sábado,10:00–22:00,66
3,domingo,12:00–21:00,66
4,segunda-feira,10:00–22:00,66
5,terça-feira,10:00–22:00,66
6,quarta-feira,10:00–22:00,66
0,quinta-feira,08:00–18:00,68
1,sexta-feira,08:00–18:00,68
2,sábado,Fechado,68
3,domingo,Fechado,68
4,segunda-feira,08:00–18:00,68
5,terça-feira,08:00–18:00,68
6,quarta-feira,08:00–18:00,68
0,quinta-feira,10:00–22:00,69
1,sexta-feira,10:00–22:00,69
