,dia da semana,periodo de funcionamento,store_id
0,quinta-feira,10:00–22:00,184
1,sexta-feira,10:00–22:00,184
2,sábado,10:00–22:00,184
3,domingo,13:00–20:00,184
4,segunda-feira,10:00–22:00,184
5,terça-feira,10:00–22:00,184
6,quarta-feira,10:00–22:00,184
0,quinta-feira,10:00–21:30,185
1,sexta-feira,10:00–21:30,185
2,sábado,10:00–21:30,185
3,domingo,14:00–20:30,185
4,segunda-feira,10:00–21:30,185
5,terça-feira,10:00–21:30,185
6,quarta-feira,10:00–21:30,185
0,quinta-feira,10:00–22:00,186
1,sexta-feira,10:00–22:00,186
2,sábado,10:00–22:00,186
3,domingo,14:00–21:00,186
4,segunda-feira,10:00–22:00,186
5,terça-feira,10:00–22:00,186
6,quarta-feira,10:00–22:00,186
0,quinta-feira,09:00–19:00,187
1,sexta-feira,09:00–19:00,187
2,sábado,09:00–14:00,187
3,domingo,Fechado,187
4,segunda-feira,09:00–19:00,187
5,terça-feira,09:00–19:00,187
6,quarta-feira,09:00–19:00,187
0,quinta-feira,10:00–22:00,188
1,sexta-feira,10:00–22:00,188
2,sábado,10:00–22:00,188
3,domingo,15:00–21:00,188
4,segunda-feira,10:00–22:00,188
5,terça-feira,10:00–22:00,188
6,quarta-feira,10:00–22:00,188
0,quinta-feira,10:00–22:00,189
1,sexta-feira,10:00–22:00,189
2,sábado,10:00–22:00,189
3,domingo,14:00–21:00,189
4,segunda-feira,10:00–22:00,189
5,terça-feira,10:00–22:00,189
6,quarta-feira,10:00–22:00,189
0,quinta-feira,10:00–22:00,190
1,sexta-feira,10:00–22:00,190
2,sábado,10:00–22:00,190
3,domingo,14:00–21:00,190
4,segunda-feira,10:00–22:00,190
5,terça-feira,10:00–22:00,190
6,quarta-feira,10:00–22:00,190
0,quinta-feira,10:00–22:00,192
1,sexta-feira,10:00–22:00,192
2,sábado,10:00–22:00,192
3,domingo,13:00–21:00,192
4,segunda-feira,10:00–22:00,192
5,terça-feira,10:00–22:00,192
6,quarta-feira,10:00–22:00,192
0,quinta-feira,10:00–22:00,193
1,sexta-feira,10:00–22:00,193
2,sábado,10:00–22:00,193
3,domingo,13:00–21:00,193
4,segunda-feira,10:00–22:00,193
5,terça-feira,10:00–22:00,193
6,quarta-feira,10:00–22:00,193
0,quinta-feira,10:00–22:00,194
1,sexta-feira,10:00–22:00,194
2,sábado,10:00–22:00,194
3,domingo,14:00–21:00,194
4,segunda-feira,10:00–22:00,194
5,terça-feira,10:00–22:00,194
6,quarta-feira,10:00–22:00,194
0,quinta-feira,10:00–22:00,195
1,sexta-feira,10:00–22:00,195
2,sábado,10:00–22:00,195
3,domingo,14:00–21:00,195
4,segunda-feira,10:00–22:00,195
5,terça-feira,10:00–22:00,195
6,quarta-feira,10:00–22:00,195
0,quinta-feira,10:00–22:00,196
1,sexta-feira,10:00–22:00,196
2,sábado,10:00–22:00,196
3,domingo,15:00–21:00,196
4,segunda-feira,10:00–22:00,196
5,terça-feira,10:00–22:00,196
6,quarta-feira,10:00–22:00,196
0,quinta-feira,10:00–22:00,197
1,sexta-feira,10:00–22:00,197
2,sábado,10:00–22:00,197
3,domingo,12:00–21:00,197
4,segunda-feira,10:00–22:00,197
5,terça-feira,10:00–22:00,197
6,quarta-feira,10:00–22:00,197
0,quinta-feira,10:00–22:00,200
1,sexta-feira,10:00–22:00,200
2,sábado,10:00–22:00,200
3,domingo,15:00–21:00,200
4,segunda-feira,10:00–22:00,200
5,terça-feira,10:00–22:00,200
6,quarta-feira,10:00–22:00,200
0,quinta-feira,10:00–22:00,201
1,sexta-feira,10:00–22:00,201
2,sábado,10:00–22:00,201
3,domingo,10:00–22:00,201
4,segunda-feira,10:00–22:00,201
5,terça-feira,10:00–22:00,201
6,quarta-feira,10:00–22:00,201
0,quinta-feira,10:00–22:00,202
1,sexta-feira,10:00–22:00,202
2,sábado,10:00–22:00,202
3,domingo,14:00–21:00,202
4,segunda-feira,10:00–22:00,202
5,terça-feira,10:00–22:00,202
6,quarta-feira,10:00–22:00,202
0,quinta-feira,10:00–21:50,204
1,sexta-feira,10:00–21:50,204
2,sábado,10:00–21:50,204
3,domingo,14:00–20:50,204
4,segunda-feira,10:00–21:50,204
5,terça-feira,10:00–21:50,204
6,quarta-feira,10:00–21:50,204
0,quinta-feira,10:00–22:00,205
1,sexta-feira,10:00–22:00,205
2,sábado,10:00–22:00,205
3,domingo,14:00–21:00,205
4,segunda-feira,10:00–22:00,205
5,terça-feira,10:00–22:00,205
6,quarta-feira,10:00–22:00,205
0,quinta-feira,10:00–22:00,206
1,sexta-feira,10:00–22:00,206
2,sábado,10:00–22:00,206
3,domingo,14:00–21:00,206
4,segunda-feira,10:00–22:00,206
5,terça-feira,10:00–22:00,206
6,quarta-feira,10:00–22:00,206
0,quinta-feira,12:00–20:00,207
1,sexta-feira,12:00–20:00,207
2,sábado,12:00–20:00,207
3,domingo,Fechado,207
4,segunda-feira,12:00–20:00,207
5,terça-feira,12:00–20:00,207
6,quarta-feira,12:00–20:00,207
0,quinta-feira,10:00–22:00,208
1,sexta-feira,10:00–22:00,208
2,sábado,10:00–22:00,208
3,domingo,14:00–21:00,208
4,segunda-feira,10:00–22:00,208
5,terça-feira,10:00–22:00,208
6,quarta-feira,10:00–22:00,208
0,quinta-feira,12:00–20:00,209
1,sexta-feira,12:00–20:00,209
2,sábado,Fechado,209
3,domingo,Fechado,209
4,segunda-feira,12:00–20:00,209
5,terça-feira,12:00–20:00,209
6,quarta-feira,12:00–20:00,209
